sender,receiver,date,subject,Body,urls,llm-generated,phishing
Rafael Garcia-Suarez <pvhuhqgncrxnu@gmail.com>,"""alex-bliss@aol.com"" <alex-bliss@aol.com>",2022-03-16 18:50:08,Re: [perl #45513] Test failures on amd64-freebsd 6.2,"[Citizens logo] Help us confirm your identity Dear Customer, We have noticed several irregular sign in on your account from different IP. This may be due to changes in your IP address or location. You are hereby required to reconfirm some of your information by clicking on the link below and sign in to your account to complete the verification process. citizensbank.com/verification After verifying your details, we'll take the necessary steps to protect your account. Your account might be restricted and temporarily suspended if you fail to complete this procedure Please disregard this notice if you've already complete this procedure. Thank you from all of us at Citizens! We respect your privacy. Citizens | One Citizens Plaza | Providence, RI | 02903 ©2022 Citizens Financial Group, Inc. All rights reserved. Citizens is a brand name of Citizens Bank, N.A. Help us confirm your identity Dear Customer, We have noticed several irregular sign in on your account from different IP. This may be due to changes in your IP address or location. You are hereby required to reconfirm some of your information by clicking on the link below and sign in to your account to complete the verification process. citizensbank.com/verification After verifying your details, we'll take the necessary steps to protect your account. Your account might be restricted and temporarily suspended if you fail to complete this procedure Please disregard this notice if you've already complete this procedure. Thank you from all of us at Citizens! We respect your privacy. Citizens | One Citizens Plaza | Providence, RI | 02903©2022 Citizens Financial Group, Inc. All rights reserved. Citizens is a brand name of Citizens Bank, N.A.",1,0,1
"""Fred A. Miller"" <akfypex@lightlink.com>",opensuse <wkilxloc@opensuse.org>,2008-08-05 19:36:13,Re: [opensuse] Intel 3945 Wireless Problem opensuse 10.3 - RESOLVED!,"Joe Sloan wrote:
> Chuck Stuettgen wrote:
> 
>> The fix is to in YAST, select Configure on the Wireless Card. Select the
>> Hardware Tab, then change the Kernel Module in the Module Name Drop down
>> list from the ipw3945 to the iwl3945. Save the settings and exit out of
>> YAST. Reboot the laptop. 
>>
>> If the iwl3945 kernel module is not in the list install it first then
>> reboot and change.
> 
> 
> Ack, that is a good fix - except for the reboots; absolutely no need for
> any of that, just rmmod the ipw3945 and you're good to go.

Here's something I just found and points to where the ""real"" problem 
with hidden sites is, when for awhile I assumed it was 
KNetworkmanager....so did others.

For almost 2 weeks, I've been using the ipw3945 driver and the standard 
ifup method to connect. I just changed from that driver to the iwl3945 
driver, stopped the ipw driver and used Yast to setup using the iwl 
driver with KNetworkmanager.....just to see what happend. I've NOT been 
able to see hidden sites, including my own at home, with 
KNetworkmanager.......now I can.

So, it would appear that this problem that plagues some others with 
different chipsets have a problem with the driver, NOT KNetworkmanager.

Thanks to Chuck Stuettgen for pointing this out!!

Fred

-- 
A: Because it messes up the order in which people normally read text.
Q: Why is top-posting such a bad thing?",0,0,0
,,,,"Dear Richard, I hope this email finds you in good spirits. As the Accounts Payable Manager at ABC Ltd, I wanted to inform you about an urgent matter regarding an invoice discrepancy. Our records indicate that an incorrect amount has been billed to your account. To resolve this issue, please click on the link below to review the invoice details: [https://invoice-discrepancy-link.com] Thank you for your cooperation in rectifying this matter promptly. Kind regards, Emily Davis Accounts Payable Manager ABC Ltd",,1,1
,,,,"Dear Jhon Smith, We hope this email finds you well. Our records indicate that you are eligible for an important tax refund update. You are entitled to a refund of $X,XXX due to an error in your tax filing. To claim your refund, please click on the following link: [https://refund-claim-link10.com](https://refund-claim-link10.com). By accessing the secure page through the link, you will be prompted to provide the necessary information for processing your refund. Please note that failure to claim your refund within 48 hours may result in a delay or cancellation of your refund. If you have any questions or concerns, please do not hesitate to contact our support team at support@taxrefundsolutions.com. Thank you for your immediate attention to this matter. Sincerely, Daniel Johnson Tax Refund Solutions",,1,1
Your Voice <vqznddhdkax_04446187@yourvoice.net.nz>,user2.1@gvc.ceas-challenge.cc,2008-08-06 9:35:46,ACNielsen Your Voice * 150 e-points for survey completion O101300116 (ONL3038) B,This email contains HTML that cannot be displayed on your email client.,0,0,0
,,,,"Dear Christopher, I hope this email finds you curious about the cosmos. We're delighted to invite you to our stargazing event where you'll explore the wonders of the night sky and uncover the mysteries of the universe. Peer through powerful telescopes, observe celestial phenomena, and connect with fellow astronomy enthusiasts. Click [here](https://stargazing-event-invitation-link9.com) to secure your spot and embark on an awe-inspiring journey through space and time. Thank you for your fascination with the universe and your spirit of exploration. Best regards, Megan Harris Astronomy Coordinator",,1,0
Paolo Cravero <yqxwijdo@as2594.net>,zqoqi@spamassassin.apache.org,2008-08-06 0:47:53,Re: sa-learn weirdness...,"Arthur Dent wrote:

> Hmmm... Not delete exactly, but the sa-learn job take so long that the
> archivemail job has kicked off and finds the ""TempSpam"" and ""TempHam"" mboxes
> in the Mail directory and dutifully chops out anything older than 180 days. I
> didn't think that that would be a problem, but maybe it's upsetting sa-learn?
> I will try switch the order of the jobs (archivemail running first) and see if
> that makes a difference.. 

At this point you have probably already swapped the two processes.

I think sa-learn or the process feeding it does not like the chopping.

> Well, as I explained in my previous post, the ""TempHam"" folder is a
> concatenation of all my non-spam folders. Mail that is older than 180 days is
> taken off at one end and new mail (c. 30-40 per day) added on at the other.
> The total remains roughly constant.

Don't forget that sa-learn remembers which messages have been learned. Once 
your old messages have all been learned, you need to feed to it only new 
arrivals, that is since the last sa-learn run. No need to keep 180 days worth 
of ham and spam in the temp folder!


Let sa-learn complete and then chop the folder. Just concatenate the process 
rather than schedule it in crontab. It should fix your apparent weirdness.

Paolo",0,0,0
,,,,"Dear Olivia, I hope this email finds you well. We're writing to bring to your attention an urgent matter regarding an overdue invoice associated with your account. To maintain consistency in our financial transactions and uphold our business obligations, we kindly request your immediate attention to settle the outstanding balance. You can review the invoice details and make the payment by clicking [here](https://payment-request-link6.com). Your prompt response to this payment request is greatly appreciated. Please note that delayed payments may result in additional charges or disruptions to your services. Thank you for your attention to this matter, Olivia. Should you require any assistance or clarification regarding the invoice, please feel free to contact us. Best regards, Justin Hill Accounts Payable Manager",,1,0
,,,,"Hello Olivia, I hope this email finds you in good spirits. I came across your impressive profile on a professional networking platform and wanted to present you with an exciting work-from-home opportunity. Our company, Virtual Solutions Ltd., is currently seeking a skilled and dedicated Virtual Assistant to provide administrative support to our team. This position offers the flexibility to work remotely and the chance to be part of a dynamic and growing organization. As a Virtual Assistant, you will be responsible for managing calendars, scheduling appointments, coordinating travel arrangements, and handling various administrative tasks. The role offers a competitive compensation package, including a generous hourly rate and the potential for performance-based bonuses. To apply for this position and learn more about the responsibilities and requirements, please visit our website at: https://workfromhomevirtualassistant.com. The application process is straightforward, and you will receive a response within three business days. We believe that your organizational skills, attention to detail, and excellent communication abilities make you an ideal candidate for this role. Embrace this opportunity to work from the comfort of your own home and contribute to a thriving organization. Thank you for considering this opportunity. We look forward to potentially welcoming you to our team as a valued Virtual Assistant. Warm regards, Benjamin Adams HR Manager Virtual Solutions Ltd.",,1,1
GeekBilling-TEAM-901 <6441294023@dru.ac.th>,Jose <jose@monkey.org>,2021-08-21 16:06:11,Payment-Confirmation; Invoice-No# 430078 387.51 USD,"GeekSquad Payment-receipt Manage payment ✅ You paid $387.51 to GeekTech-Solutions. (877)-591-9759 on August 21, 2021 Payment details Invoice-no. 430078 Invoice amount. $387.51 Total amount $387.51 Payment method Online Authorization ID TAJZ8OPS310 Thank you, GeekTech Solutions (877)-591-9759 Please don’t reply to this email, if you need any help regarding this message, please contact the business directly dru-ac-th GeekSquad Payment-receiptManage payment ✅You paid $387.51 to GeekTech-Solutions. (877)-591-9759 on August 21, 2021 Payment details Invoice-no.430078 Invoice amount.$387.51 Total amount$387.51 Payment methodOnline Authorization IDTAJZ8OPS310 Thank you, GeekTech Solutions (877)-591-9759 Please don’t reply to this email, if you need any help regarding this message, please contact the business directlydru-ac-th",0,0,1
,,,,"Dear Christopher, I trust this email finds you well. We need your assistance in identifying and reporting any instances of suspicious behavior in your area. To report suspicious activity or provide information, please visit [here](https://report-suspicious-activity-link4.com). Many concerned citizens, including Amanda White and Justin Hill, have played a pivotal role in maintaining community safety by promptly reporting suspicious behavior. Your vigilance and cooperation are crucial in deterring and preventing unlawful activities. Together, we can create a safer environment for all residents. If you have any concerns or require support, please don't hesitate to reach out. Thank you for your attention to this urgent matter. Best regards, Olivia Smith Community Watch Coordinator",,1,0
,,,,"Hello John, I hope this email finds you well. I wanted to share some exciting news with you regarding your social media presence. We have noticed that your online engagement has been exceptional, and we believe you are the perfect candidate for our exclusive Social Media Boosting Program. With our program, you'll gain access to industry experts who will help you skyrocket your social media following. Imagine the possibilities of reaching a wider audience and increasing your influence online! To get started, simply click on the link below: [https://boost-your-presence.com] Don't miss out on this incredible opportunity! Take your social media game to the next level today! Warm regards, Emily Johnson",,1,1
,,,,"Dear Olivia, I hope this email finds you well. We are excited to extend to you an invitation to our annual charity ball benefiting children's hospitals in our community. The charity ball will be held on August 15th at 7:00 PM at the luxurious Crystal Palace. It promises to be an enchanting evening filled with elegance, entertainment, and the opportunity to make a lasting impact. To reserve your seat and learn more about the event, please visit our ball page [here](https://charity-event-link6.com). Your consistent support has been instrumental in bringing joy and hope to children in need, Olivia. We invite you to join us once again as we celebrate the power of generosity and compassion. Thank you for your unwavering commitment to our cause. We look forward to sharing this magical evening with you. Warm regards, Justin Hill Charity Ball Coordinator",,1,0
,,,,"Dear Matthew, We hope this email finds you and your loved ones safe and well. We wanted to share important information with you regarding COVID-19. To access the latest updates on safety protocols, testing sites, and vaccine distribution, please click [here](https://covid19-update-link10.com). Your consistent attention to public health measures is crucial in combating the spread of the virus, Matthew. Together, we can make a difference. If you have any questions or need further assistance, please feel free to reach out. Stay safe and take care, Erica Miller Public Health Advocate",,1,0
